OrderID,OrderDate,Product,Category,Region,Sales,Cost,Discount,CustomerType
1066,2024-06-03,Laptop,Electronics,West,,28341.99,10.0,New
1067,2024-05-24,Tablet,Electronics,North,7480.0,6720.39,20.0,Returning
1068,2024-09-26,Headphones,Accessories,North,14506.0,10071.23,40.0,Returning
1069,2024-03-23,Laptop,Electronics,East,44421.0,28294.06,15.0,New
1070,2024-05-29,Mouse,Accessories,North,29619.0,19945.28,40.0,New
1071,2024-08-10,Mobile,Electronics,South,10756.0,6817.45,10.0,New
1072,2023-04-16,Mouse,Accessories,North,53372.0,27824.48,20.0,Returning
1073,2023-12-20,Mouse,Accessories,West,55336.0,37839.5,15.0,New
1074,2024-07-18,Mouse,Accessories,South,69392.0,48916.66,40.0,New
1075,2024-04-01,Keyboard,Accessories,West,52435.0,38228.9,10.0,Returning
1076,2023-05-18,Keyboard,Accessories,South,40764.0,32485.33,0.0,New
1077,2024-09-09,Mouse,Accessories,North,19784.0,10861.87,40.0,Returning
1078,2024-06-24,Keyboard,Accessories,North,70661.0,61087.41,5.0,New
1079,2023-11-22,Mobile,Electronics,East,75137.0,67611.05,10.0,New
1080,2023-12-13,Laptop,Electronics,West,14881.0,11003.29,40.0,Returning
1081,2024-10-27,Laptop,Electronics,West,10589.0,7450.7,10.0,New
1082,2024-04-16,Tablet,Electronics,West,43198.0,23158.03,15.0,Returning
1083,2023-05-13,Mobile,Electronics,West,22671.0,14429.29,0.0,Returning
1084,2024-04-10,Tablet,Electronics,North,30613.0,18636.14,5.0,Returning
1085,2024-11-09,Headphones,Accessories,West,33899.0,19378.97,10.0,New
1086,2023-04-20,Mobile,Electronics,North,15001.0,10587.6,15.0,New
1087,2024-09-09,Tablet,Electronics,East,17655.0,9211.31,5.0,New
1088,2024-09-05,Mobile,Electronics,West,12346.0,10104.37,10.0,New
1089,2023-06-04,Keyboard,Accessories,West,58969.0,41923.95,0.0,New
1090,2023-11-12,Tablet,Electronics,North,75839.0,60073.98,0.0,New
1091,2024-02-07,Keyboard,Accessories,North,76522.0,67414.57,30.0,New
1092,2023-10-08,Headphones,Accessories,East,31826.0,21786.98,40.0,New
1093,2023-06-17,Laptop,Electronics,East,53138.0,36420.73,30.0,New
1094,2024-07-16,Tablet,Electronics,South,70127.0,39262.64,30.0,New
1095,2024-11-23,Laptop,Electronics,South,53412.0,47096.99,10.0,Returning
1096,2024-01-16,Mouse,Accessories,East,22441.0,18498.35,0.0,Returning
1097,2024-02-07,Laptop,Electronics,South,71658.0,51504.78,15.0,New
1098,2023-02-24,Mobile,Electronics,North,13755.0,7698.3,0.0,Returning
1099,2024-08-16,Mobile,Electronics,West,19136.0,12728.54,5.0,Returning
1100,2023-09-11,Tablet,Electronics,North,29519.0,16597.48,30.0,Returning
1101,2023-09-03,Headphones,Accessories,West,20215.0,13483.06,0.0,New
1102,2024-03-08,Headphones,Accessories,South,,30533.15,15.0,Returning
1103,2024-04-11,Headphones,Accessories,North,47019.0,41648.42,40.0,Returning
1104,2024-08-19,Mouse,Accessories,East,30851.0,18277.3,,Returning
1105,2024-06-13,Laptop,Electronics,South,47132.0,23963.95,5.0,Returning
1106,2023-09-14,Mouse,Accessories,East,45922.0,39474.43,10.0,Returning
1107,2023-12-01,Laptop,Electronics,North,72104.0,53593.53,20.0,New
1108,2024-01-06,Headphones,Accessories,South,75577.0,39222.91,30.0,Returning
1109,2024-06-08,Mobile,Electronics,North,31236.0,27371.68,15.0,Returning
1110,2024-01-06,Laptop,Electronics,South,35906.0,31439.4,5.0,Returning
1111,2023-06-10,Laptop,Electronics,South,71229.0,46384.24,15.0,New
1112,2023-10-10,Laptop,Electronics,West,,13205.66,10.0,Returning
1113,2024-05-28,Mobile,Electronics,North,37613.0,28619.63,5.0,New
1114,2024-11-12,Laptop,Electronics,South,51534.0,30077.65,40.0,Returning
1115,2023-10-22,Keyboard,Accessories,North,55408.0,43303.68,15.0,Returning
1116,2024-07-05,Mobile,Electronics,South,52485.0,32751.66,40.0,New
1117,2023-09-19,Mobile,Electronics,West,58891.0,38557.46,5.0,New
1118,2024-02-24,Tablet,Electronics,West,69005.0,43564.79,40.0,Returning
1119,2024-01-23,Mobile,Electronics,North,47819.0,39854.42,0.0,New
1120,2023-01-05,Headphones,Accessories,South,46147.0,23360.68,30.0,New
1121,2023-10-20,Mouse,Accessories,North,37889.0,27064.82,15.0,Returning
1122,2024-07-02,Mouse,Accessories,West,55966.0,47692.28,10.0,New
1123,2023-05-26,Mouse,Accessories,West,8453.0,5366.45,40.0,New
1124,2024-03-12,Mobile,Electronics,South,78667.0,53868.46,15.0,New
1125,2023-08-26,Headphones,Accessories,North,46741.0,26806.5,15.0,New
1126,2024-09-06,Mouse,Accessories,West,71598.0,57338.92,0.0,New
1127,2023-02-24,Mouse,Accessories,South,42639.0,32627.57,5.0,Returning
1128,2023-09-20,Headphones,Accessories,South,70069.0,56019.92,10.0,New
1129,2024-05-04,Laptop,Electronics,North,29495.0,20143.87,30.0,New
1130,2023-02-05,Tablet,Electronics,North,50989.0,40774.6,,New
1131,2023-08-01,Mobile,Electronics,South,58930.0,32669.82,20.0,Returning
1132,2024-03-25,Headphones,Accessories,South,76284.0,41031.71,10.0,New
1133,2023-03-25,Laptop,Electronics,West,69870.0,59366.1,5.0,New
1134,2023-08-28,Mouse,Accessories,North,62723.0,49037.44,,Returning
1135,2024-03-03,Mouse,Accessories,North,73713.0,,10.0,New
1136,2023-10-29,Mouse,Accessories,West,21874.0,11255.55,30.0,New
1137,2023-09-07,Keyboard,Accessories,North,62271.0,52849.86,30.0,New
1138,2023-07-06,Headphones,Accessories,South,42682.0,30212.23,5.0,New
1139,2023-09-22,Tablet,Electronics,West,36322.0,29222.17,15.0,Returning
1140,2024-08-18,Laptop,Electronics,East,12299.0,8185.14,10.0,New
1141,2023-12-08,Tablet,Electronics,West,14447.0,12597.54,0.0,Returning
1142,2023-03-03,Keyboard,Accessories,South,18347.0,13969.1,15.0,Returning
1143,2023-10-08,Laptop,Electronics,North,29087.0,17536.53,30.0,New
1144,2024-08-25,Headphones,Accessories,East,20308.0,12492.93,40.0,New
1145,2024-03-17,Tablet,Electronics,East,40127.0,21983.84,15.0,Returning
1146,2023-01-03,Mobile,Electronics,North,64637.0,42098.18,15.0,Returning
1147,2023-07-29,Mouse,Accessories,West,41088.0,35695.1,20.0,Returning
1148,2024-10-24,Laptop,Electronics,East,9072.0,7561.71,20.0,Returning
1149,2023-01-17,Laptop,Electronics,West,63388.0,49476.66,10.0,Returning
1150,2024-02-20,Mobile,Electronics,East,37881.0,32948.54,20.0,New
1151,2024-11-12,Mouse,Accessories,North,78375.0,69616.09,20.0,Returning
1152,2023-01-14,Laptop,Electronics,East,76405.0,65859.23,5.0,New
1153,2023-03-31,Laptop,Electronics,North,31917.0,16520.4,20.0,New
1154,2023-07-26,Laptop,Electronics,East,40143.0,29818.54,40.0,Returning
1155,2023-09-01,Mobile,Electronics,South,78447.0,60178.85,40.0,New
1156,2024-08-25,Mobile,Electronics,North,19010.0,11349.53,30.0,Returning
1157,2024-05-31,Mobile,Electronics,North,64875.0,56540.52,0.0,New
1158,2024-05-13,Headphones,Accessories,South,55984.0,42390.49,5.0,Returning
1159,2023-02-03,Headphones,Accessories,North,51379.0,38569.31,,Returning
1160,2023-10-19,Laptop,Electronics,South,22466.0,19652.11,10.0,Returning
1161,2024-02-27,Keyboard,Accessories,North,11403.0,6763.99,40.0,New
1162,2023-06-17,Mouse,Accessories,South,21166.0,10752.62,40.0,Returning
1163,2024-11-03,Mouse,Accessories,East,35600.0,23169.24,10.0,New
1164,2023-03-22,Headphones,Accessories,West,31008.0,23263.24,,Returning
1165,2024-08-02,Mobile,Electronics,North,55522.0,35567.58,5.0,New
1166,2023-01-10,Tablet,Electronics,North,20367.0,,40.0,Returning
1167,2023-05-20,Laptop,Electronics,South,21009.0,16007.94,10.0,New
1168,2024-05-17,Keyboard,Accessories,East,57852.0,35223.73,15.0,Returning
1169,2024-11-19,Mobile,Electronics,East,48214.0,32706.66,5.0,Returning
1170,2023-02-13,Tablet,Electronics,East,18714.0,13591.63,30.0,Returning
1171,2024-03-31,Mobile,Electronics,West,78479.0,57549.48,20.0,New
1172,2023-09-29,Tablet,Electronics,West,52399.0,33910.41,0.0,Returning
1173,2024-03-30,Mouse,Accessories,East,30862.0,25971.99,5.0,New
1174,2023-03-02,Headphones,Accessories,East,35675.0,21457.57,40.0,Returning
1175,2024-10-15,Mobile,Electronics,North,31850.0,27318.4,10.0,New
1176,2023-09-01,Headphones,Accessories,East,,53994.62,10.0,Returning
1177,2023-08-21,Mouse,Accessories,West,23563.0,20709.76,15.0,Returning
1178,2024-06-06,Mouse,Accessories,South,59918.0,34057.74,40.0,Returning
1179,2023-09-29,Headphones,Accessories,South,20532.0,15685.26,30.0,Returning
1180,2023-07-10,Tablet,Electronics,West,14639.0,10007.64,0.0,New
1181,2024-07-27,Keyboard,Accessories,North,,45144.53,10.0,Returning
1182,2023-07-29,Mouse,Accessories,South,19190.0,17236.9,5.0,Returning
1183,2024-08-24,Tablet,Electronics,East,52559.0,29184.59,40.0,New
1184,2023-12-26,Mobile,Electronics,West,78360.0,48702.73,20.0,New
1185,2024-08-29,Headphones,Accessories,West,41334.0,21470.67,5.0,New
1186,2024-01-30,Tablet,Electronics,West,17822.0,9313.5,10.0,Returning
1187,2024-03-02,Laptop,Electronics,East,62856.0,41656.91,30.0,New
1188,2023-07-03,Mouse,Accessories,North,38861.0,33186.97,5.0,New
1189,2023-06-15,Tablet,Electronics,North,56354.0,43986.97,10.0,Returning
1190,2024-11-15,Keyboard,Accessories,West,63097.0,40357.87,20.0,New
1032,2024-03-13,Keyboard,Accessories,South,51547.0,41408.55,30.0,Returning
1067,2024-05-24,Tablet,Electronics,North,7480.0,6720.39,20.0,Returning
1113,2024-05-28,Mobile,Electronics,North,37613.0,28619.63,5.0,New
1121,2023-10-20,Mouse,Accessories,North,37889.0,27064.82,15.0,Returning
1082,2024-04-16,Tablet,Electronics,West,43198.0,23158.03,15.0,Returning
1154,2023-07-26,Laptop,Electronics,East,40143.0,29818.54,40.0,Returning
1036,2023-12-07,Headphones,Accessories,West,71781.0,54615.91,5.0,Returning
1103,2024-04-11,Headphones,Accessories,North,47019.0,41648.42,40.0,Returning
1100,2023-09-11,Tablet,Electronics,North,29519.0,16597.48,30.0,Returning
1099,2024-08-16,Mobile,Electronics,West,19136.0,12728.54,5.0,Returning
